NOMBREPROYEC,URL,CARRERA,FACULTAD
Campaña para prevenir el incremento de casos de anorexia y bulimia entre la juventud estudiantil de la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/10503,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Realización de un Documental sobre la Alfarería como un patrimonio cultural de la ciudad de Cuenca.,https://dspace.espol.edu.ec/handle/123456789/53920,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Impactos y estrategias de adaptación al cambio climático en regiones costeras,https://dspace.espol.edu.ec/handle/123456789/53914,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
“Mal Etiquetado”,https://dspace.espol.edu.ec/handle/123456789/54057,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Programa “Campus Deportivo” Episodio: Tenis de Mesa.,https://dspace.espol.edu.ec/handle/123456789/54252,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Video Documental-Informativo del CVR (Centro de Visión y Robótica).,https://dspace.espol.edu.ec/handle/123456789/54161,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Programa Campus Deportivo EPISODIO FUTBOL MASCULINO.,https://dspace.espol.edu.ec/handle/123456789/54179,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Producción de un Magazine Televisivo de Divulgación Tecnológica.,https://dspace.espol.edu.ec/handle/123456789/54780,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Vive tu destino.,https://dspace.espol.edu.ec/handle/123456789/54234,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Patitas que hablan.,https://dspace.espol.edu.ec/handle/123456789/54243,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Realización de una pieza audiovisual tipo documental para analizar la evolución del ritual gastronómico guayaquileño del cangrejo criollo.,https://dspace.espol.edu.ec/handle/123456789/53861,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
"Etapa de postproducción (edición, musicalización, retoque e imagen corporativa). Manual de diseño.",https://dspace.espol.edu.ec/handle/123456789/57886,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Sistema de control pediátrico,https://dspace.espol.edu.ec/handle/123456789/60329,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Video Institucional del CISE.,https://dspace.espol.edu.ec/handle/123456789/54154,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Serie Documental informativo sobre el diseño y como sus fases impactan la calidad de vida de las personas e impulsan el desarrollo de nuevos conocimientos e ideas “PROP”.,https://dspace.espol.edu.ec/handle/123456789/53918,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Determinación de la calidad de agua mediante equipos de campo.,https://dspace.espol.edu.ec/handle/123456789/54076,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Documental - Informativo (Grupo musical LA RONDALLA DE LA ESPOL),https://dspace.espol.edu.ec/handle/123456789/54117,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
"Un niño que presenta duelo patológico, reacciona ante la ausencia de su madre, a través de percepciones de una realidad inexistente",https://dspace.espol.edu.ec/handle/123456789/53999,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Realización de un documental audiovisual sobre el patrimonio arquitectónico de Zaruma para impulsar la conservación de esta ciudad,https://dspace.espol.edu.ec/handle/123456789/53901,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Arte Drag,https://dspace.espol.edu.ec/handle/123456789/54089,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
"Lineamientos para el uso turístico sostenible de zonas de playa con bases en el análisis físico, biótico y socioeconómico del espacio.",https://dspace.espol.edu.ec/handle/123456789/54052,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Realización de un cortometraje de ficción que aborda un trastorno mental,https://dspace.espol.edu.ec/handle/123456789/53919,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Estudio de factibilidad para la creación de una microempresa de sombreros de paño con su respectiva campaña publicitaria,https://dspace.espol.edu.ec/handle/123456789/53340,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Manejo de Conflictos Laborales y Personales,https://dspace.espol.edu.ec/handle/123456789/54016,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Dirección de arte del programa “Press Start”,https://dspace.espol.edu.ec/handle/123456789/54346,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
