NOMBREPROYEC,URL,CARRERA,FACULTAD
Factibilidad para realizar un plan comunicacional que divulgue el proyecto remoción de mercurio de las aguas mediante Azolla-Anabaena,https://dspace.espol.edu.ec/handle/123456789/53118,Licenciatura en Comunicación Social,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Comunicación asertiva para una entrevista laboral existosa.,https://dspace.espol.edu.ec/handle/123456789/53963,Licenciatura en Comunicación Social,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Análisis del comportamiento de la audiencia juvenil sobre su preferencia entre la radio tradicional y la digital en la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/53120,Licenciatura en Comunicación Social,"Facultad de Arte, Diseño y Comunicación Audiovisual"
"Elaboración de la Propuesta Televisiva Periodística y de Inclusión Social ""BocaCalle""",https://dspace.espol.edu.ec/handle/123456789/53328,Licenciatura en Comunicación Social,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Video Promocional para la Maestría en Geotecnia,https://dspace.espol.edu.ec/handle/123456789/54180,Licenciatura en Comunicación Social,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Video institucional de la Facultad de Ingeniería en Ciencias de la Tierra.,https://dspace.espol.edu.ec/handle/123456789/53942,Licenciatura en Comunicación Social,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Análisis de Contenido de los Periódicos El Universo y El Telégrafo Según la Ley Orgánica de Comunicación de Ecuador.,https://dspace.espol.edu.ec/handle/123456789/52515,Licenciatura en Comunicación Social,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Creación de un cortometraje de ciencia ficción animado con la técnica de stop motion,https://dspace.espol.edu.ec/handle/123456789/62744,Licenciatura en Comunicación Social,"Facultad de Arte, Diseño y Comunicación Audiovisual"
La ingeniería en alimentos: la innovación y desarrollo para la sociedad.,https://dspace.espol.edu.ec/handle/123456789/54008,Licenciatura en Comunicación Social,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Estudio de factibilidad de la creación de un programa radial online para difundir noticias de interés estudiantil,https://dspace.espol.edu.ec/handle/123456789/53117,Licenciatura en Comunicación Social,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Video Institucional “Yo Soy Edcom“,https://dspace.espol.edu.ec/handle/123456789/54002,Licenciatura en Comunicación Social,"Facultad de Arte, Diseño y Comunicación Audiovisual"
