NOMBREPROYEC,URL,CARRERA,FACULTAD
Implementación de un sistema de indicadores de gestión para el proceso de control de la morosidad en la cartera de una entidad financiera,https://dspace.espol.edu.ec/handle/123456789/38961,Estadística,Facultad de Ciencias Naturales y Matemáticas
Análisis estadástico de los factores asociados a la presencia de enfermedad pulmonar intersticial en el Hospital Militar de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/39856,Estadística,Facultad de Ciencias Naturales y Matemáticas
"Estudio multivariante de las principales causas de muerte en ecuador para la construcción de índices demográficos, un punto de vista evolutivo comparado con el año 2020.",https://dspace.espol.edu.ec/handle/123456789/56614,Estadística,Facultad de Ciencias Naturales y Matemáticas
Diseño de un sistema automatizado de encuestas y análisis estadístico del impacto en la sociedad de los TV. Programas Deportivos,https://dspace.espol.edu.ec/handle/123456789/39986,Estadística,Facultad de Ciencias Naturales y Matemáticas
"Modelación de una red neuronal artificial para predicción de lluvias, usando temperaturas superficiales del mar.",https://dspace.espol.edu.ec/handle/123456789/48842,Estadística,Facultad de Ciencias Naturales y Matemáticas
LA DESERCIÓN ESCOLAR COMO PREDICTOR DE ROBOS EN LA CIUDAD DE GUAYAQUIL DESDE UN ENFOQUE ESTADÍSTICO ESPACIAL,https://dspace.espol.edu.ec/handle/123456789/58482,Estadística,Facultad de Ciencias Naturales y Matemáticas
Análisis Descriptivo y Correlacional del uso de la plataforma de LinkedIn Learning en la comunidad Politécnica,https://dspace.espol.edu.ec/handle/123456789/63179,Estadística,Facultad de Ciencias Naturales y Matemáticas
La Investigación de Mercados como soporte en el Desarrollo de la Industria Ecuatoriana,https://dspace.espol.edu.ec/handle/123456789/41299,Estadística,Facultad de Ciencias Naturales y Matemáticas
Optimización de un Portafolio de Inversiones Riesgosas dentro de la Bolsa de Valores de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/40287,Estadística,Facultad de Ciencias Naturales y Matemáticas
Caracterización del comportamiento Oceanográfico Fisicoquímico a diez millas costa afuera del perfil costanero de Ecuador Continental: Análisis Multivariante especial y temporal 2013-2022,https://dspace.espol.edu.ec/handle/123456789/63072,Estadística,Facultad de Ciencias Naturales y Matemáticas
Diseño de un gráfico de control multivariante para variables normales usando el esquema de muestreo generalized multiple dependent state,https://dspace.espol.edu.ec/handle/123456789/48820,Estadística,Facultad de Ciencias Naturales y Matemáticas
Control inteligente de incidentes industriales en empresa de Gas Licuado de Petróleo (GLP) mediante estadísticas multivariantes y aprendizaje automático,https://dspace.espol.edu.ec/handle/123456789/65678,Estadística,Facultad de Ciencias Naturales y Matemáticas
Investigación de mercado para Internet Banda Ancha con tecnología ADSL en la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/40189,Estadística,Facultad de Ciencias Naturales y Matemáticas
Estudio multivariante del síndrome del desgaste profesional y sus implicaciones en el desempeño de docentes en una universidad del ecuador,https://dspace.espol.edu.ec/handle/123456789/39124,Estadística,Facultad de Ciencias Naturales y Matemáticas
La Deserción Estudiantil en la ESPOL: Caso de las Facultades de Ingenierías,https://dspace.espol.edu.ec/handle/123456789/40196,Estadística,Facultad de Ciencias Naturales y Matemáticas
Estadística y distribución espacial de la población adulta mayor en Ecuador,https://dspace.espol.edu.ec/handle/123456789/38925,Estadística,Facultad de Ciencias Naturales y Matemáticas
Análisis estadístico de la violencia de género en las mujeres casadas y divorciadas de dos diferentes ciudades del ecuador,https://dspace.espol.edu.ec/handle/123456789/39045,Estadística,Facultad de Ciencias Naturales y Matemáticas
"Proyecciones espacio-temporal del virus sars-Cov-2, en las principales provincias del ecuador, a través de modelos geoestadísticos y series de tiempo.",https://dspace.espol.edu.ec/handle/123456789/56609,Estadística,Facultad de Ciencias Naturales y Matemáticas
Validación y calibración de indicadores discriminantes para pacientes hospitalarios con problemas cardiovasculares,https://dspace.espol.edu.ec/handle/123456789/40355,Estadística,Facultad de Ciencias Naturales y Matemáticas
"Estudio de la relación entre las variaciones climáticas y las principales enfermedades que afectan a la población urbana de guayaquil, desde una perspectiva multivariante espacio-temporal.",https://dspace.espol.edu.ec/handle/123456789/56579,Estadística,Facultad de Ciencias Naturales y Matemáticas
Análisis de la estructura en la distribución de los ingresos de los ecuatorianos usando modelo de regresión cuantílica robusta,https://dspace.espol.edu.ec/handle/123456789/39127,Estadística,Facultad de Ciencias Naturales y Matemáticas
Modelo de inventario aplicado a la industria farmacéutica,https://dspace.espol.edu.ec/handle/123456789/39009,Estadística,Facultad de Ciencias Naturales y Matemáticas
Modelo poblacional con algoritmos genéticos,https://dspace.espol.edu.ec/handle/123456789/5737,Estadística,Facultad de Ciencias Naturales y Matemáticas
Aplicación de métodos multivariantes al control estadístico de procesos agroindustriales,https://dspace.espol.edu.ec/handle/123456789/41489,Estadística,Facultad de Ciencias Naturales y Matemáticas
Estudio del rendimiento de jugadores de fútbol considerando el componente técnico-táctico,https://dspace.espol.edu.ec/handle/123456789/39120,Estadística,Facultad de Ciencias Naturales y Matemáticas
"Diseño, construcción e implementación de modelos matemáticos para el control automatizado de inventarios",https://dspace.espol.edu.ec/handle/123456789/41273,Estadística,Facultad de Ciencias Naturales y Matemáticas
Caracterización de las familias ecuatorianas por sus rasgos socio económicos más relevantes,https://dspace.espol.edu.ec/handle/123456789/39977,Estadística,Facultad de Ciencias Naturales y Matemáticas
Diseño de un sistema automatizado de encuestas y análisis estadístico del impacto de la sociedad de los TV Programas Cómicos Satíricos,https://dspace.espol.edu.ec/handle/123456789/39985,Estadística,Facultad de Ciencias Naturales y Matemáticas
Aplicación de modelos de aprendizaje automático para pronosticar un ratio de daños ocasionados por inundaciones,https://dspace.espol.edu.ec/handle/123456789/60867,Estadística,Facultad de Ciencias Naturales y Matemáticas
"Comparación de la precisión de la predicción de datos de una serie de tiempo entre los
modelos ARIMA y las Redes Neuronales",https://dspace.espol.edu.ec/handle/123456789/40345,Estadística,Facultad de Ciencias Naturales y Matemáticas
Detección de movimiento en videos de cámara de vigilancia con fondo fijo usando técnicas estadísticas robustas.,https://dspace.espol.edu.ec/handle/123456789/56616,Estadística,Facultad de Ciencias Naturales y Matemáticas
"La estructura factorial de la inteligencia emocional de los estudiantes de la espol, ¿sigue el patrón teórico internacional? un análisis factorial exploratorio.",https://dspace.espol.edu.ec/handle/123456789/45380,Estadística,Facultad de Ciencias Naturales y Matemáticas
La Deserción Estudiantil en la ESPOL: El Caso de las carreras del Instituto de Tecnologías,https://dspace.espol.edu.ec/handle/123456789/40198,Estadística,Facultad de Ciencias Naturales y Matemáticas
Estudio  estadistico de la poblacion infantil con cancer en los principales centros urbanos del ecuador,https://dspace.espol.edu.ec/handle/123456789/41981,Estadística,Facultad de Ciencias Naturales y Matemáticas
Evaluación del Indicador para la medición de la desigualdad multidimensional en los cantones del Guayas,https://dspace.espol.edu.ec/handle/123456789/50218,Estadística,Facultad de Ciencias Naturales y Matemáticas
La discapacidad en la provincia del Guayas según el censo de población y vivienda 2010,https://dspace.espol.edu.ec/handle/123456789/40199,Estadística,Facultad de Ciencias Naturales y Matemáticas
Diseño de un modelo predictivo de la deserción estudiantil de postgrado en una institución de educación superior,https://dspace.espol.edu.ec/handle/123456789/48758,Estadística,Facultad de Ciencias Naturales y Matemáticas
Determinación de perfiles para los ciudadanos de acuerdo a su condición laboral,https://dspace.espol.edu.ec/handle/123456789/39044,Estadística,Facultad de Ciencias Naturales y Matemáticas
Diseño e implementación de un asistente para el análisis de series temporales estacionarias a través de paquetes de código abierto para el desarrollo de aplicaciones web reactivas,https://dspace.espol.edu.ec/handle/123456789/45379,Estadística,Facultad de Ciencias Naturales y Matemáticas
Métodos de machine learning para clasificar las necesidades de atención de apoyo en pacientes oncológicos,https://dspace.espol.edu.ec/handle/123456789/58483,Estadística,Facultad de Ciencias Naturales y Matemáticas
Reconocimiento facial usando modelos mixtos,https://dspace.espol.edu.ec/handle/123456789/40344,Estadística,Facultad de Ciencias Naturales y Matemáticas
Análisis de homogeneidad multinivel aplicado a la evaluación de algunas caracteristicas de la educación secundaria en la provincia del Guayas,https://dspace.espol.edu.ec/handle/123456789/8313,Estadística,Facultad de Ciencias Naturales y Matemáticas
Estudio corporativo de metodos de estimacion de parametros para modelos lineales,https://dspace.espol.edu.ec/handle/123456789/41871,Estadística,Facultad de Ciencias Naturales y Matemáticas
"Segmentación del mercado de los estudiantes, profesionales y trabajadores de la ESPOL - Campus Gustavo Galindo - Según Preferencias Bancarias",https://dspace.espol.edu.ec/handle/123456789/41304,Estadística,Facultad de Ciencias Naturales y Matemáticas
Diseño de índice de comportamiento alimenticio en Ecuador mediante método no supervisado  PRIDIT desde un enfoque de modelo socio-ecológico,https://dspace.espol.edu.ec/handle/123456789/65677,Estadística,Facultad de Ciencias Naturales y Matemáticas
Predicción del riesgo de robo: enfoque bayesiano de modelización espacio - temporal y caso de estudio.,https://dspace.espol.edu.ec/handle/123456789/56598,Estadística,Facultad de Ciencias Naturales y Matemáticas
Análisis estadístico comparativo de la situación laboral entre hombres y mujeres en el mercado ecuatoriano,https://dspace.espol.edu.ec/handle/123456789/48742,Estadística,Facultad de Ciencias Naturales y Matemáticas
Diseño automatizado de encuestas telefónicas y análisis estadísticos del impacto en la sociedad de Tv. programa documentales,https://dspace.espol.edu.ec/handle/123456789/41712,Estadística,Facultad de Ciencias Naturales y Matemáticas
Aplicación de un instrumento para evaluar la proficiencia matemática.,https://dspace.espol.edu.ec/handle/123456789/56603,Estadística,Facultad de Ciencias Naturales y Matemáticas
Estadísticas Electorales del Ecuador: Periodo de 1978-1998,https://dspace.espol.edu.ec/handle/123456789/41284,Estadística,Facultad de Ciencias Naturales y Matemáticas
Análisis de las pruebas de aptitud académica aplicadas en los años 2009 y 2010 para el proceso de admisión en una institución de educación superior usando los modelos IRT,https://dspace.espol.edu.ec/handle/123456789/38926,Estadística,Facultad de Ciencias Naturales y Matemáticas
Inferencia de datos espaciales con respuestas censuradas o faltantes usando ecuaciones diferenciales parciales estocásticas (SPDE),https://dspace.espol.edu.ec/handle/123456789/65679,Estadística,Facultad de Ciencias Naturales y Matemáticas
Desarrollo de un Modelo Bayesiano para la Predicción de Incidencias Delictivas en la Zona 8 del Ecuador basado en la teoría de los lugares de Riesgo,https://dspace.espol.edu.ec/handle/123456789/63105,Estadística,Facultad de Ciencias Naturales y Matemáticas
"Evaluación de la calidad de la educación en las escuelas primarias en el cantón Samborondón, Sector La Puntilla",https://dspace.espol.edu.ec/handle/123456789/40098,Estadística,Facultad de Ciencias Naturales y Matemáticas
Análisis estadístico de la defunción fetal con variables maternas y sociodemográficas de mujeres en estado de gestación de dos provincias del Ecuador,https://dspace.espol.edu.ec/handle/123456789/42492,Estadística,Facultad de Ciencias Naturales y Matemáticas
Análisis estadístico de la producción de café en el Ecuador,https://dspace.espol.edu.ec/handle/123456789/41223,Estadística,Facultad de Ciencias Naturales y Matemáticas
Estudio multivariante de pacientes con cáncer en fase terminal que cuentan con soporte paliativos de una institución de salud,https://dspace.espol.edu.ec/handle/123456789/49216,Estadística,Facultad de Ciencias Naturales y Matemáticas
"Aplicación de un modelo Deep Learning para la lectura automática de  caracteres manuscritos en formularios estadísticos físicos, usando la  arquitectura de redes neuronales Transformers",https://dspace.espol.edu.ec/handle/123456789/58484,Estadística,Facultad de Ciencias Naturales y Matemáticas
Análisis estadístico de los servicios que presta el sistema transaccional de una red de cajeros automáticos en la ciudad de Guayaquil período: 2003 - 2004”,https://dspace.espol.edu.ec/handle/123456789/5673,Estadística,Facultad de Ciencias Naturales y Matemáticas
Simulador matemático para el nuevo sistema troncalizado de transporte masivo para la ciudad de Guayaquil. ruta troncal 5: puente Portete - centro.,https://dspace.espol.edu.ec/handle/123456789/40349,Estadística,Facultad de Ciencias Naturales y Matemáticas
"Medición de la calidad de la educación fiscal, en el sector centro vía a la costa de guayaquil, a través de los niveles de conocimientos de matemáticas y lenguaje de los estudiantes del tercer año de bachillerato de las especializaciones fima e informáticato",https://dspace.espol.edu.ec/handle/123456789/35600,Estadística,Facultad de Ciencias Naturales y Matemáticas
Análisis Estadístico y Determinación de un Test de Función Pulmonar como Predictor de las Complicaciones Pulmonares en el Postoperatorio de los pacientes sometidos a Cirugía de Abdomen. Caso Hospital Militar de la Ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/39906,Estadística,Facultad de Ciencias Naturales y Matemáticas
Modelo automático de codificación basado en CIE-10 de diagnósticos médicos usando modelos de machine learning,https://dspace.espol.edu.ec/handle/123456789/65680,Estadística,Facultad de Ciencias Naturales y Matemáticas
Control de calidad datos meteorológicos a la estación automática Facultad de Ciencias Naturales Universidad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/51429,Estadística,Facultad de Ciencias Naturales y Matemáticas
Evaluación de la calidad de la educación en las escuelas primarias en la ciudad de Guayaquil en los sectores municipales que constituyen asentamientos del norte de la urbe,https://dspace.espol.edu.ec/handle/123456789/40100,Estadística,Facultad de Ciencias Naturales y Matemáticas
Aplicación de la metodología Seis Sigma para analizar el proceso de importaciones que realiza una empresa de Agente Fedatario de Aduanas,https://dspace.espol.edu.ec/handle/123456789/43897,Estadística,Facultad de Ciencias Naturales y Matemáticas
Comparación de métodos de predicción Univariado y Multivariados para series de tiempo,https://dspace.espol.edu.ec/handle/123456789/51749,Estadística,Facultad de Ciencias Naturales y Matemáticas
"Diseño e implementación de un sistema informático para la predicción de ventas, optimización de procesos logísticos y asignación de personal de una tienda minorista",https://dspace.espol.edu.ec/handle/123456789/39202,Estadística,Facultad de Ciencias Naturales y Matemáticas
Modelización Espacio-Temporal para la Predicción de Homicidios. Caso de Estudio: Guayaquil.,https://dspace.espol.edu.ec/handle/123456789/60868,Estadística,Facultad de Ciencias Naturales y Matemáticas
Aplicación de modelos logísticos y geoestadísticos en organismos macroinvertebrados en la cuenca del río guayas,https://dspace.espol.edu.ec/handle/123456789/39123,Estadística,Facultad de Ciencias Naturales y Matemáticas
Análisis multivariante de los estilos de aprendizaje en estudiantes de educación superior de la ESPOL,https://dspace.espol.edu.ec/handle/123456789/52457,Estadística,Facultad de Ciencias Naturales y Matemáticas
Modelo de detección de fraudes en los seguros de vehículos utilizando componentes principales y análisis RIDIT,https://dspace.espol.edu.ec/handle/123456789/40285,Estadística,Facultad de Ciencias Naturales y Matemáticas
Determinación de un modelo de regresión no paramétrica múltiple para estimar la concentración horario de material particulado pm2.5 y pm1 en la ciudad de guayaquil,https://dspace.espol.edu.ec/handle/123456789/52981,Estadística,Facultad de Ciencias Naturales y Matemáticas
"Análisis Estadístico y Distribución Espacial de los
Resultados Obtenidos del Levantamiento Catastral de la Zona Urbana del Cantón Pasaje de la Provincia de El
Oro: Sector Norte",https://dspace.espol.edu.ec/handle/123456789/41136,Estadística,Facultad de Ciencias Naturales y Matemáticas
Efectos de la imputación en el análisis de datos multivariados,https://dspace.espol.edu.ec/handle/123456789/40050,Estadística,Facultad de Ciencias Naturales y Matemáticas
Componentes principales de las características de la vivienda del filo costero del Ecuador,https://dspace.espol.edu.ec/handle/123456789/39205,Estadística,Facultad de Ciencias Naturales y Matemáticas
Comparación de metodologías estadísticas para interpolar la precipitación en el ecuador,https://dspace.espol.edu.ec/handle/123456789/45357,Estadística,Facultad de Ciencias Naturales y Matemáticas
Diseño de gráficos de control multivariantes basado en la combinación lineal de variables normales,https://dspace.espol.edu.ec/handle/123456789/42493,Estadística,Facultad de Ciencias Naturales y Matemáticas
Modelos estadísticos para predecir la presencia de organismos bioindicadores de calidad de agua en la cuenca del río guayas,https://dspace.espol.edu.ec/handle/123456789/39125,Estadística,Facultad de Ciencias Naturales y Matemáticas
Diseño e implantación de un sistema de control de gestión en una empresa dedicada al servicio Seguridad y Vigilancia,https://dspace.espol.edu.ec/handle/123456789/39079,Estadística,Facultad de Ciencias Naturales y Matemáticas
Determinación de Índices de Satisfacción de los Usuarios en la ciudad de Guayaquil con el servicio prestado por empresas proveedoras de Internet. Caso:  ESPOLTEL,https://dspace.espol.edu.ec/handle/123456789/41268,Estadística,Facultad de Ciencias Naturales y Matemáticas
Software estadístico para regresión. El caso de regresión logística y regresión Poisson,https://dspace.espol.edu.ec/handle/123456789/38929,Estadística,Facultad de Ciencias Naturales y Matemáticas
Modelización Energética en el Ecuador,https://dspace.espol.edu.ec/handle/123456789/41301,Estadística,Facultad de Ciencias Naturales y Matemáticas
Diseño de un sistema de control para la mejora administrativa y financiera a través del análisis de indicadores de medición para una empresa distribuidora de suministros automotrices,https://dspace.espol.edu.ec/handle/123456789/38860,Ingeniería en Auditoría y Contaduría Pública Autorizada,Facultad de Ciencias Naturales y Matemáticas
Diseño de un sistema de gestión por procesos para el área comercial de una distribuidora de relojes en la ciudad de guayaquil,https://dspace.espol.edu.ec/handle/123456789/45455,Ingeniería en Auditoría y Contaduría Pública Autorizada,Facultad de Ciencias Naturales y Matemáticas
Diseño de un plan de auditoría a la cuenta inventarios de una compañía de venta de rulimanes por el periodo terminado al 31 de Diciembre de 2013,https://dspace.espol.edu.ec/handle/123456789/31593,Ingeniería en Auditoría y Contaduría Pública Autorizada,Facultad de Ciencias Naturales y Matemáticas
Análisis y propuesta de mejora del proceso de adquisición y asignación de productos textiles para una empresa hotelera,https://dspace.espol.edu.ec/handle/123456789/37886,Ingeniería en Auditoría y Contaduría Pública Autorizada,Facultad de Ciencias Naturales y Matemáticas
Diseño de un sistema de control operacional basado en las normas OSHAS 18001:2007 para una empresa constructora,https://dspace.espol.edu.ec/handle/123456789/38960,Ingeniería en Auditoría y Contaduría Pública Autorizada,Facultad de Ciencias Naturales y Matemáticas
