NOMBREPROYEC,URL,CARRERA,FACULTAD
Estudio de factibilidad para la distribución de pasta de harina de trigo para empanadas en la Región Sierra y Amazonía del Ecuador de la empresa La Chilenita S.A.,https://dspace.espol.edu.ec/handle/123456789/53236,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Plan de negocio para la manufactura de un Absorbente Industrial Ecológico en base a la fibra de coco,https://dspace.espol.edu.ec/handle/123456789/52115,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Diseño de plataforma de comercio electrónico para innovar las actividades comerciales de La Bahía de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/55976,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Plan de negocios para el desarrollo sostenible de una empresa de elaboración de productos de resina y vinil sublimable: un enfoque administrativo,https://dspace.espol.edu.ec/handle/123456789/58259,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Plan de Marketing digital para incrementar el volumen de ventas de una ferretería ubicada en  Guayaquil a través del uso de redes sociales,https://dspace.espol.edu.ec/handle/123456789/58268,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Factores determinantes en la calidad de atención al usuario en una empresa de salud,https://dspace.espol.edu.ec/handle/123456789/65522,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Análisis de prefactibilidad de producción de jabones artesanales a partir de residuos de café,https://dspace.espol.edu.ec/handle/123456789/55966,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Estudio de casos de negocios exitosos que nacieron como  emprendimientos en la Ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/53181,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Estudio de factibilidad para el desarrollo de una plataforma virtual que conecte a productores de alimentos y al consumidor final promoviendo el comercio justo,https://dspace.espol.edu.ec/handle/123456789/53203,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Análisis de mercado en Guayaquil: Modelo de negocio sostenible para excedentes en negocios de repostería,https://dspace.espol.edu.ec/handle/123456789/60382,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Mejoramiento de la gestión y administración del complejo ecoturístico chachimbiro,https://dspace.espol.edu.ec/handle/123456789/62176,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
El rol del mercado de vivienda vertical y su influencia en la Redistribución Poblacional de Guayaquil y zonas aledañas,https://dspace.espol.edu.ec/handle/123456789/62441,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Proyecto producción y comercialización de abono agrícola basado en economía  circular a partir de residuos orgánicos,https://dspace.espol.edu.ec/handle/123456789/62461,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Demanda insatisfecha de energía eléctrica en la zona rural de la cabecera cantonal del cantón Balao,https://dspace.espol.edu.ec/handle/123456789/62138,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
¿Cómo elevar la motivación del personal del área de cobranzas de una institución financiera de la ciudad de Guayaquil?,https://dspace.espol.edu.ec/handle/123456789/57390,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
"Estrategias de reinserción laboral para personas en situaciones de mendicidad en la ciudad de Guayaquil, mediante el estudio de casos exitosos",https://dspace.espol.edu.ec/handle/123456789/55968,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Diseño de un sistema de gestión de la seguridad de la información en el centro de servicios informáticos de la escuela superior politécnica del litoral (CSI-ESPOL),https://dspace.espol.edu.ec/handle/123456789/62152,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Credibilidad de los influenciadores de Instagram y su impacto en la intención de compra de productos cosméticos.,https://dspace.espol.edu.ec/handle/123456789/53206,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Microempresa de jugos calumi frutas,https://dspace.espol.edu.ec/handle/123456789/62169,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
"Urbanización mar azul, ubicada en la parroquia anconcito",https://dspace.espol.edu.ec/handle/123456789/62180,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Alternativas estratégicas de distribución y comercialización de productos BIMBO en  el mercado de las Islas Galápagos,https://dspace.espol.edu.ec/handle/123456789/58274,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Fortalecimiento agroempresarial del consorcio cado en las provincias de Cotopaxi y Bolívar,https://dspace.espol.edu.ec/handle/123456789/62244,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
Cambios en los hábitos alimenticios de las familias guayaquileñas a partir de la pandemia del COVID 19,https://dspace.espol.edu.ec/handle/123456789/53234,Administración de Empresas,Facultad de Ciencias Sociales y Humanísticas
