NOMBREPROYEC,URL,CARRERA,FACULTAD
Tipificación de Micobacterias a partir de Cepas Inactivadas Mediante Análisis de Patrones de Restricción (PRA),https://dspace.espol.edu.ec/handle/123456789/29598,Biología,Facultad de Ciencias de la Vida
Análisis de Perfiles Metabolómicos Mediante la Cromatografía de Gases en cepas de Mycosphaerella fijiensis resistentes a Thiabendazol,https://dspace.espol.edu.ec/handle/123456789/55622,Biología,Facultad de Ciencias de la Vida
Distribución y abundancia del macro bentos en el reserva ecologica manglares Churute en relacion a su caliad ambiental en el periodo de epoca seca del 2014,https://dspace.espol.edu.ec/handle/123456789/39610,Biología,Facultad de Ciencias de la Vida
Aislamiento e identificación de bacterias cultivables asociadas a poríferos y tunicados,https://dspace.espol.edu.ec/handle/123456789/56054,Biología,Facultad de Ciencias de la Vida
Determinación de las condiciones de un inóculo anaeróbico diseñado para biodegradar películas poliméricas y no poliméricas,https://dspace.espol.edu.ec/handle/123456789/54361,Biología,Facultad de Ciencias de la Vida
Evaluación de aislados microbianos en la degradación de pigmentos textiles para su uso en remediación,https://dspace.espol.edu.ec/handle/123456789/58386,Biología,Facultad de Ciencias de la Vida
Uso  de  insectos  nativos  en  el  control  biológico de  las  cochinillas  algodonosas presentes en las plantas ornamentales dela ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/53106,Biología,Facultad de Ciencias de la Vida
Adquisición de silicio en banano (musa sp. var. williams) inoculados con micorrizas arbusculares bajo condiciones controladas,https://dspace.espol.edu.ec/handle/123456789/51516,Biología,Facultad de Ciencias de la Vida
Eficiencia del uso de un complejo de ácidos órganicos en el cultivo de camarón. (litopenaeus vannamei) en una camaronera del recinto pagua del Cantón Guabo de la Provincia de El Oro,https://dspace.espol.edu.ec/handle/123456789/41371,Biología,Facultad de Ciencias de la Vida
"Ciclismo sostenible en el bosque protector La Prosperina: Plataforma de registro, monitoreo y educación ambiental mediante el uso de Entornos Virtuales de Aprendizaje (EVAs)",https://dspace.espol.edu.ec/handle/123456789/53158,Biología,Facultad de Ciencias de la Vida
Distribución y abundancia de macrobentos en la reserva de producción faunística manglares del salado del golfo de Guayaquil para la estación seca del año 2014,https://dspace.espol.edu.ec/handle/123456789/48147,Biología,Facultad de Ciencias de la Vida
Estudio comparativo del ciclo de desarrollo y sobrevivencia del Aedes Aegypti durante la época seca y época lluviosa en la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/31556,Biología,Facultad de Ciencias de la Vida
Estandarización de protocolos para el monitoreo del estado de salud de aves como reservorios de hemoparásitos en el Bosque Protector La Prosperina,https://dspace.espol.edu.ec/handle/123456789/55846,Biología,Facultad de Ciencias de la Vida
Evaluación de hongos endófitos con potencial uso en la degradación de tintes industriales,https://dspace.espol.edu.ec/handle/123456789/51526,Biología,Facultad de Ciencias de la Vida
Diseño de estudio del movimiento de microplásticos en la cadena trófica,https://dspace.espol.edu.ec/handle/123456789/55845,Biología,Facultad de Ciencias de la Vida
Desinfección de Artemias salinas para el uso en larvicultura,https://dspace.espol.edu.ec/handle/123456789/56479,Biología,Facultad de Ciencias de la Vida
Diseño de una herramienta mediante el uso de la metabolómica para el diagnóstico y pronóstico de COVID-19,https://dspace.espol.edu.ec/handle/123456789/56480,Biología,Facultad de Ciencias de la Vida
Uso de aceites esenciales frente a antibióticos empleados en larvas de Anadara tuberculosa,https://dspace.espol.edu.ec/handle/123456789/55844,Biología,Facultad de Ciencias de la Vida
Elaboración de un manual de forestación de manglares en Ecuador,https://dspace.espol.edu.ec/handle/123456789/56474,Biología,Facultad de Ciencias de la Vida
"Crecimiento de Anadara Similis (C.B. Adams, 1852) en la Reserva Ecológica de Manglares Cayapas-Mataje, Remacam: Una aproximación basada en tallas",https://dspace.espol.edu.ec/handle/123456789/55617,Biología,Facultad de Ciencias de la Vida
Reconstrucción paleoecológica de comunidades ancestrales de tiburones,https://dspace.espol.edu.ec/handle/123456789/62422,Biología,Facultad de Ciencias de la Vida
Caracterización molecular de bacterias patógenas asociadas a enfermedades emergentes en camarones penaeus (litopenaeus) vannamei.,https://dspace.espol.edu.ec/handle/123456789/56047,Biología,Facultad de Ciencias de la Vida
Estudio de la actividad antibacteriana de diferentes ácidos orgánicos sobre distintas bacterias Gram negativas de importancia en la industria acuícola.,https://dspace.espol.edu.ec/handle/123456789/29554,Biología,Facultad de Ciencias de la Vida
Sustratos influyentes en la formación de biopelículas de Vibrio parahaemolyticus,https://dspace.espol.edu.ec/handle/123456789/58374,Biología,Facultad de Ciencias de la Vida
Análisis comparativo de dos metodologías de extracción de proteínas de chocho (Lupinus sp.) con valor agregado y la caracterización de los residuos del proceso.,https://dspace.espol.edu.ec/handle/123456789/53810,Biología,Facultad de Ciencias de la Vida
"Diseño de un sistema de depuración de moluscos bivalvos, a escala comercial, adaptado a las realidades de las principales zonas de producción de concha prieta en Ecuador",https://dspace.espol.edu.ec/handle/123456789/56488,Biología,Facultad de Ciencias de la Vida
