NOMBREPROYEC,URL,CARRERA,FACULTAD
Propuesta metodológica para la aplicación del slope mass rating continuo (smr-c) mediante un sistema de información geográfica en los taludes de la vía la Moya Achupallas,https://dspace.espol.edu.ec/handle/123456789/32267,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Caracterización geotécnica y evaluación del riesgo de deslizamiento en 3 puntos críticos presentes en la vía Matrama Mazar perteneciente a la provincia de Cañar,https://dspace.espol.edu.ec/handle/123456789/59495,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Estudio geológico geotécnico del proyecto de presa baba,https://dspace.espol.edu.ec/handle/123456789/61981,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Estudio geotécnico y geológico en las minas abandonadas de la concesión fict-1 para el prediseño de una mina escuela,https://dspace.espol.edu.ec/handle/123456789/54881,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Estudio de las tobas azufradas del volcán Nevado del Chiles,https://dspace.espol.edu.ec/handle/123456789/3399,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Evaluación y zonificación de riesgos geodinámicos en el distrito minero Zaruma - Portovelo.,https://dspace.espol.edu.ec/handle/123456789/8139,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Enfoque geodinámico de la isla santa clara del golfo de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/3393,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Caracterización petrográfica mineralógica automatizada de rocas con potencial para almacenar Co2.,https://dspace.espol.edu.ec/handle/123456789/32283,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Evaluación del geopatrimonio y su incidencia científico-social para la promoción del geoturismo parque nacional el cajas Ecuador,https://dspace.espol.edu.ec/handle/123456789/55513,Geología,Facultad de Ingeniería en Ciencias de la Tierra
"Estudio hidrogeológico de la cuenca baja del río Manglaralto provincia del guayas longitud oeste 80° 45' 00"" latitud sur 01° 51' 00"" longitud oeste 80° 36' 00""  latitud sur  01 ° 47' 00",https://dspace.espol.edu.ec/handle/123456789/3419,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Prospección geotécnica de campo aplicada a la construcción de la presa del proyecto parque del conocimiento,https://dspace.espol.edu.ec/handle/123456789/14628,Geología,Facultad de Ingeniería en Ciencias de la Tierra
"Prospección geoquímica regional de sedimentos activos mediante el uso de la herramienta geostatistical analyst, en la zona noroccidental de la provincia de Chimborazo",https://dspace.espol.edu.ec/handle/123456789/30468,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Análisis Estructural de la Cuenca Progreso- Secuencias Paleógeno.,https://dspace.espol.edu.ec/handle/123456789/36994,Geología,Facultad de Ingeniería en Ciencias de la Tierra
"Evaluación geológica, geomecánica y consideraciones para el prediseño de la estabilidad del talud del santuario blanca estrella del mar en el cerro de Olón, Santa Elena-Ecuador",https://dspace.espol.edu.ec/handle/123456789/54879,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Evaluación de la resistencia a la abrasión de los miembros cayo s.s. y Guayaquil chert de la fm cayo,https://dspace.espol.edu.ec/handle/123456789/61864,Geología,Facultad de Ingeniería en Ciencias de la Tierra
"Geología del cuadrangulo 77° 45' 78°00' de longitud oeste y 01°10' -01°10' de latitud sur, escala 1:50.000 (área aproximada: 500 km^2, localizada en Puerto Napo, provincia de Napo.",https://dspace.espol.edu.ec/handle/123456789/3442,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Modelo geológico-térmico de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/29894,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Análisis físico estadístico de propiedades geo-mecánicas de la formación cayo.,https://dspace.espol.edu.ec/handle/123456789/32461,Geología,Facultad de Ingeniería en Ciencias de la Tierra
"Evaluación de la disponibilidad hídrica basado en geoeléctrica y análisis de la calidad de agua en las lagunas de estabilización de la comuna Ayangue, Ecuador",https://dspace.espol.edu.ec/handle/123456789/57848,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Estimación del riesgo sísmico y elaboración de plan de mitigación en la zona centro del Cantón Eloy Alfaro (Durán),https://dspace.espol.edu.ec/handle/123456789/54872,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Aplicación de la teledetección en el mapeo geológico de una parte de la costa del ecuador utilizando una sub estación de landsat tm y técnicas específicas de tratamiento de morfología matemática,https://dspace.espol.edu.ec/handle/123456789/61875,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Zonas de alteración y mineralización de un depósito de poli sulfuros en rocas metamórficas paleozoicas en la región de bailadores,https://dspace.espol.edu.ec/handle/123456789/3352,Geología,Facultad de Ingeniería en Ciencias de la Tierra
"Estudio Para La Definición De Posibles Áreas De Explotación De Materiales Pétreos De Sectores Poblados De Santa Cruz, Galápagos",https://dspace.espol.edu.ec/handle/123456789/46775,Geología,Facultad de Ingeniería en Ciencias de la Tierra
"El flujo de trabajo de modelamiento geológico en petrel aplicación práctica en un campo de la Cuenca Oriente, Ecuador",https://dspace.espol.edu.ec/handle/123456789/55034,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Estudio de evaluación geológica de una arena de la parte oeste del campo Magallanes,https://dspace.espol.edu.ec/handle/123456789/61887,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Geología y Petrografía Del Depósito De Cobre-Molibdeno De Chaucha,https://dspace.espol.edu.ec/handle/123456789/44493,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Análisis De Procesos y Peligros Geológicos Alrededor De La Estación Científica Pedro Vicente Maldonado En La Isla Greenwich-Antártida,https://dspace.espol.edu.ec/handle/123456789/47484,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Estudio Estratigráfico y Petrográfico de Ignimbritas en San Pedro al Suroeste Del Canton Santa Isabel provincia Del Azuay.,https://dspace.espol.edu.ec/handle/123456789/43675,Geología,Facultad de Ingeniería en Ciencias de la Tierra
"Caracterización De Los Minerales De Alteración Hidrotermal En La Zona Comprendida Entre las Quebradas Chorrera Chico y El Bicundo, Proyecto La Bonita, Sucumbíos-Ecuador",https://dspace.espol.edu.ec/handle/123456789/43492,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Análisis de estabilidad de taludes en la autopista  Azogues-Cuenca y en la vía Matrama-Mazaren la provincia de Cañar,https://dspace.espol.edu.ec/handle/123456789/63117,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Propuesta geoparque ruta del oro basada en especificaciones unesco: aspectos geológicos provincia de el Oro - Ecuador,https://dspace.espol.edu.ec/handle/123456789/55522,Geología,Facultad de Ingeniería en Ciencias de la Tierra
"Estudio Geológico, Geomecánico y Su Incidencia En La Evaluación De La Estabilidad De Talud Del Cementerio Patrimonial General (Puerta 1), Cerro Del Carmen, Guayaquil",https://dspace.espol.edu.ec/handle/123456789/48822,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Evaluación de la vulnerabilidad intrínseca a la contaminación mediante técnicas multivariables en el acuífero costero de Olón,https://dspace.espol.edu.ec/handle/123456789/65924,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Estudio geotécnico de factibilidad del sitio de la presa Zapotal.,https://dspace.espol.edu.ec/handle/123456789/32483,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Análisis de estabilidad de las rocas del borde costero de la zona de La Chocolatera y La Lobería (Salinas) utilizando fotogrametría y clasificación geomecánica de macizos rocosos.,https://dspace.espol.edu.ec/handle/123456789/57874,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Estudio mineralúrgico para la extracción de oro por cianuración de los relaves de Ponce Enriquez,https://dspace.espol.edu.ec/handle/123456789/3421,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Modelo socio-hidrogeológico aplicado a la gestión sostenible del agua en la junta administradora de agua potable regional Valdivia (Santa Elena- Ecuador),https://dspace.espol.edu.ec/handle/123456789/52343,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Determinación de sedimentos (azolves) en la presa Chongón,https://dspace.espol.edu.ec/handle/123456789/3377,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Diseño de Modelo Estratigráfico de las Formaciones Cuaternarias del Sector Septentrional de la Cuenca Baja del Guayas.,https://dspace.espol.edu.ec/handle/123456789/38907,Geología,Facultad de Ingeniería en Ciencias de la Tierra
"Inspección técnica de la presa santa Marta, mediante medidas subacuáticas de potencial espontaneo",https://dspace.espol.edu.ec/handle/123456789/44654,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Geología aplicada para la gestión del agua en la comunidad de El Arenal – Volcán Chimborazo – Provincia de Bolívar,https://dspace.espol.edu.ec/handle/123456789/52336,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Revisión de estado de conocimientos del fenómeno de dispersividad de los suelos y aporte de una nueva metodología recomendada para detectar arcillas dispersas,https://dspace.espol.edu.ec/handle/123456789/58073,Geología,Facultad de Ingeniería en Ciencias de la Tierra
"Caracterización geoquímica y petrográfica de filones hidrotermales del distrito minero Zaruma-portovelo, Ecuador",https://dspace.espol.edu.ec/handle/123456789/51412,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Recuperación de oro de las arenas de la mina san-José: método de cianuración por agitación,https://dspace.espol.edu.ec/handle/123456789/32506,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Desarrollo de una metodología para la ordenación minero-ambiental en el sector de Zaruma-Portovelo,https://dspace.espol.edu.ec/handle/123456789/8149,Geología,Facultad de Ingeniería en Ciencias de la Tierra
"Análisis petrográfico de los cerros de bellavista y San Eduardo,  Guayaquil, Ecuador",https://dspace.espol.edu.ec/handle/123456789/52338,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Modelado de deslizamiento utilizando técnicas de sensores remotos: Caso de estudio vía a la Costa-Guayas.,https://dspace.espol.edu.ec/handle/123456789/65923,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Prospección minera de cobre en la zona de monte nuevo,https://dspace.espol.edu.ec/handle/123456789/3338,Geología,Facultad de Ingeniería en Ciencias de la Tierra
Estudio composicional de los sedimentos marinos de la ensenada de Jaramijo Provincia de Manabí,https://dspace.espol.edu.ec/handle/123456789/60987,Geología,Facultad de Ingeniería en Ciencias de la Tierra
