NOMBREPROYEC,URL,CARRERA,FACULTAD
"Análisis, diseño e implementación de una aplicación multimedia interactiva para mostrar tiempos, distancias y rutas en un sistema de transporte masivo urbano utilizando herramientas de software libre y tecnología de web 2.0.",https://dspace.espol.edu.ec/handle/123456789/8094,Computación,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de una solución multiplataforma para la gestión de compras colaborativas al por mayor destinadas a pequeñas y medianas empresas,https://dspace.espol.edu.ec/handle/123456789/57048,Computación,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de Extensión de Chromium como herramienta de apoyo para  el dictado de clases de Fundamentos de Programación en ESPOL,https://dspace.espol.edu.ec/handle/123456789/56822,Computación,Facultad de Ingeniería en Electricidad y Computación
Sistema de control de obras para contratistas de empresa pública de telecomunicaciones,https://dspace.espol.edu.ec/handle/123456789/39061,Computación,Facultad de Ingeniería en Electricidad y Computación
Desarrollo del software y el plan de negocios del producto E-Fiesta para planificación y administración de eventos,https://dspace.espol.edu.ec/handle/123456789/42641,Computación,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de una plataforma web de gestión y seguimiento de prospectos en la prestación de servicios de capacitación,https://dspace.espol.edu.ec/handle/123456789/66020,Computación,Facultad de Ingeniería en Electricidad y Computación
Sistema de información de vialidad y transporte,https://dspace.espol.edu.ec/handle/123456789/44048,Computación,Facultad de Ingeniería en Electricidad y Computación
"Análisis, diseño e implementación de un sistema para creación de interfaces de usuario utilizando el paradigma de diagramas a mano alzada",https://dspace.espol.edu.ec/handle/123456789/7957,Computación,Facultad de Ingeniería en Electricidad y Computación
"Análisis, diseño e implementación del módulo de control de macro proceso productivo del sistema estratégico de la calidad de Compulead S.A.",https://dspace.espol.edu.ec/handle/123456789/8644,Computación,Facultad de Ingeniería en Electricidad y Computación
Análisis e implementación de un mundo virtual para la FIEC explorable a través de un navegador de www,https://dspace.espol.edu.ec/handle/123456789/44541,Computación,Facultad de Ingeniería en Electricidad y Computación
Sistema general de contabilidad gubernamental,https://dspace.espol.edu.ec/handle/123456789/43308,Computación,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de un producto de software para médicos basado en un sistema grafico de visualización en el tiempo,https://dspace.espol.edu.ec/handle/123456789/3270,Computación,Facultad de Ingeniería en Electricidad y Computación
Sistema de gestión de recursos en sectores residenciales privados,https://dspace.espol.edu.ec/handle/123456789/54433,Computación,Facultad de Ingeniería en Electricidad y Computación
Desarrollo del módulo de registro de beneficiarios para el sistema integrado del servicio social provincial de Pastaza,https://dspace.espol.edu.ec/handle/123456789/47607,Computación,Facultad de Ingeniería en Electricidad y Computación
Evaluación de indicadores de contenido de nitrógeno en el cultivo de maíz (Zea mays) mediante relaciones cuantitativas y el uso de técnicas de teledetección y aprendizaje profundo,https://dspace.espol.edu.ec/handle/123456789/57541,Computación,Facultad de Ingeniería en Electricidad y Computación
Chat Robot: Robot social para la generación de una conversación basada en inteligencia artificial,https://dspace.espol.edu.ec/handle/123456789/56329,Computación,Facultad de Ingeniería en Electricidad y Computación
"Análisis, diseño e implementación de un sistema de administración de información basado en una intranet",https://dspace.espol.edu.ec/handle/123456789/42411,Computación,Facultad de Ingeniería en Electricidad y Computación
Distribución y administración de contenidos de sitios web utilizando técnicas de replicación y sincronización,https://dspace.espol.edu.ec/handle/123456789/3046,Computación,Facultad de Ingeniería en Electricidad y Computación
Módulo StoreFront de Eguana,https://dspace.espol.edu.ec/handle/123456789/42675,Computación,Facultad de Ingeniería en Electricidad y Computación
Diseño e implementación del sistema de información gerencial de la ESPOL,https://dspace.espol.edu.ec/handle/123456789/61167,Computación,Facultad de Ingeniería en Electricidad y Computación
Sistema de navegación y consulta del mapa de la Ciudad de Guayaquil a través de la internet,https://dspace.espol.edu.ec/handle/123456789/43945,Computación,Facultad de Ingeniería en Electricidad y Computación
Arquitectura cliente/servidor: control de ventas e inventarío en una farmacia,https://dspace.espol.edu.ec/handle/123456789/3237,Computación,Facultad de Ingeniería en Electricidad y Computación
Implementación de transacciones de envío y retiro de dinero utilizando IVR (Interactive Voice Response),https://dspace.espol.edu.ec/handle/123456789/44324,Computación,Facultad de Ingeniería en Electricidad y Computación
Sistema de internet banking para el banco de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/3198,Computación,Facultad de Ingeniería en Electricidad y Computación
Implementación de visualizador de evolución de tópicos extraídos de plataforma de microblogging,https://dspace.espol.edu.ec/handle/123456789/44789,Computación,Facultad de Ingeniería en Electricidad y Computación
Implementación de una herramienta Workflow para la automatización de procesos entre las unidades académicas y administrativas de la ESPOL,https://dspace.espol.edu.ec/handle/123456789/42410,Computación,Facultad de Ingeniería en Electricidad y Computación
Estudio y pruebas de lectores ópticos y códigos de barra,https://dspace.espol.edu.ec/handle/123456789/42305,Computación,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de una versión mejorada del sistema AGATA de la ESPOL,https://dspace.espol.edu.ec/handle/123456789/57057,Computación,Facultad de Ingeniería en Electricidad y Computación
