NOMBREPROYEC,URL,CARRERA,FACULTAD
Identificación de familias del camarón blanco litopenaeus vannamei utilizando marcadores moleculares tipo microsatélites.,https://dspace.espol.edu.ec/handle/123456789/59500,Acuicultura,Facultad de Ingeniería Marítima y Ciencias del Mar
Métodos de selección de anticuerpos monoclonales contra compuestos presentes en el cerebro y ganglio torácico de hembras maduras Penaeus vannamei,https://dspace.espol.edu.ec/handle/123456789/39788,Acuicultura,Facultad de Ingeniería Marítima y Ciencias del Mar
Criterios para el dimensionamiento de la aeración en la producción de un cultivo de camarón blanco (Penaeus vannamei),https://dspace.espol.edu.ec/handle/123456789/55412,Acuicultura,Facultad de Ingeniería Marítima y Ciencias del Mar
Diseño de un protocolo para el transporte de huevos de Huayaipe (Seriola rivoliana) en su fase de pre-eclosión,https://dspace.espol.edu.ec/handle/123456789/53375,Acuicultura,Facultad de Ingeniería Marítima y Ciencias del Mar
Evaluación de la factibilidad técnica de la producción de larvas de camarón orgánico P. Vannamei en comparación con cultivos tradicionales,https://dspace.espol.edu.ec/handle/123456789/43809,Acuicultura,Facultad de Ingeniería Marítima y Ciencias del Mar
Situación Actual de las Especies Introducidas en el Ecuador con fines Acuícolas,https://dspace.espol.edu.ec/handle/123456789/54626,Acuicultura,Facultad de Ingeniería Marítima y Ciencias del Mar
Optimización de Ensayos Antibacterianos y Estudios sobre la Inducción de la Actividad Antibacteriana en la Hemolinfa del Camarón Penaeus Vannamei,https://dspace.espol.edu.ec/handle/123456789/54560,Acuicultura,Facultad de Ingeniería Marítima y Ciencias del Mar
"Levantamiento de no conformidad evidenciada durante la auditoria IFS de recertificación, mediante el uso de 5w1h y LUP's. Caso Ecuador",https://dspace.espol.edu.ec/handle/123456789/54472,Acuicultura,Facultad de Ingeniería Marítima y Ciencias del Mar
Efecto de la composición nutricional de artemia enriquecida en la reproducción de Penaeus vannamei,https://dspace.espol.edu.ec/handle/123456789/4645,Acuicultura,Facultad de Ingeniería Marítima y Ciencias del Mar
Diseño de un Plan para la Incorporación de Camaroneras a un Sistema de Información Geográfica de alertas de producción,https://dspace.espol.edu.ec/handle/123456789/45359,Acuicultura,Facultad de Ingeniería Marítima y Ciencias del Mar
