NOMBREPROYEC,URL,CARRERA,FACULTAD
Efecto del estado de madurez del banano cavendish en las propiedades de hidratación de la harina y gel,https://dspace.espol.edu.ec/handle/123456789/30751,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Evaluación de la Capacidad de Discriminación y Repetibilidad de un Panel Sensorial  Semi-entrenado de Licor de Cacao,https://dspace.espol.edu.ec/handle/123456789/62910,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Desarrollo de una metodología de selección de jueces sensoriales para pruebas de sabor y textura,https://dspace.espol.edu.ec/handle/123456789/30888,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Desarrollo de un pan tipo briollo con sustitución parcial de harina de trigo por harina de maíz y chía,https://dspace.espol.edu.ec/handle/123456789/29866,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Diseño de una planta de procesamiento de leche de soya para la fundación hogar de Cristo,https://dspace.espol.edu.ec/handle/123456789/19463,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Rediseño de una línea de producción de geles para la industria de panificación,https://dspace.espol.edu.ec/handle/123456789/46956,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
"Desarrollo de un nuevo sistema de alimentación utilizando productos procesados de vida útil caducada a base de tortilla de maíz, chifle de verde y papas fritas en la etapa de crecimiento y acabado de la especie de patos cairina moschata",https://dspace.espol.edu.ec/handle/123456789/29891,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Metodología para el diseño de un plan nutricional optimizado aplicado en la comunidad 24 de mayo de la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/30570,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Evaluación del proceso de llenado mediante la aplicación de herramientas de mejora continua para disminuir las mermas en el área de envasado de una industria cervecera,https://dspace.espol.edu.ec/handle/123456789/53664,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Extracción de pectina líquida a partir de cáscaras de maracuyá (passiflora edulis) y su aplicación en el desarrollo de un producto de humedad intermedia,https://dspace.espol.edu.ec/handle/123456789/31786,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Estudio del efecto de los espesantes en la penetración de calor de una mermelada con fructosa,https://dspace.espol.edu.ec/handle/123456789/19142,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Diseño de una herramienta predictiva en lenguaje visual basic .net en procesos de transferencia de masa aplicada a alimentos,https://dspace.espol.edu.ec/handle/123456789/13402,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
"Diseño de un sistema de gestión de la calidad en base a la norma ISO 9001:2008, para una empresa de alimentos en la línea de bebidas",https://dspace.espol.edu.ec/handle/123456789/31322,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Estudio de mejoramiento de una planta faenadora de pollos (gallus gallus domesticus) en sectores urbano marginales,https://dspace.espol.edu.ec/handle/123456789/30801,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Manual para el buen emprendedor: pasos y procedimientos para la creación de una pyme procesadora de alimentos,https://dspace.espol.edu.ec/handle/123456789/30571,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Efecto de variedades de arroz en las características físicas del pan de arroz sin gluten,https://dspace.espol.edu.ec/handle/123456789/30890,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Factibilidad técnica para el aprovechamiento integral del camarón de la especie penaeus vannamei,https://dspace.espol.edu.ec/handle/123456789/31699,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Propuesta de un método biológico para la detección de aflatoxinas en alimentos,https://dspace.espol.edu.ec/handle/123456789/24776,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Desarrollo de la línea de producción de un complemento alimenticio rico en fibra a partir de zapallo,https://dspace.espol.edu.ec/handle/123456789/31187,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Comparación de la concentración ypactividad enzimática de la bromelina obtenida a partir de la pulpa de la Piña (Ananas Comosus) variedad perolera de dos grados de madurez.,https://dspace.espol.edu.ec/handle/123456789/30866,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Mejora en el proceso de temperado del chocolate en una industria chocolatera ecuatoriana,https://dspace.espol.edu.ec/handle/123456789/4401,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Diseño de una planta multipropósito para procesamiento de banano fuera de especificación proveniente de exportaciones ecuatorianas,https://dspace.espol.edu.ec/handle/123456789/60789,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Utilización  de una nueva cepa de levadura en el proceso de fermentación en una industria cervecera en la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/30762,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
"Determinación de la durabilidad de una resina de tereftalato de polietileno, Af-626, en envases retornables por inyección para bebidas gaseosas de alta rotación",https://dspace.espol.edu.ec/handle/123456789/30685,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
"Estudio comparativo de las características fisicoquímicas, nutricionales y sensoriales de arroces iniap 14 cultivados de forma orgánica (azolla) y tradicional (urea)",https://dspace.espol.edu.ec/handle/123456789/37021,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Rediseño del proceso en la producción  de bagel de ajonjolí,https://dspace.espol.edu.ec/handle/123456789/30495,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Efecto del tipo de variedad de arroz ecuatoriano en las características de hidratación de la harina y del gel,https://dspace.espol.edu.ec/handle/123456789/30861,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
Desarrollo de un mejorador con tecnología enzimática para el mejoramiento de textura y volumen en pan de molde en una industria panificadora.,https://dspace.espol.edu.ec/handle/123456789/31045,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
"Aplicación de ácidos orgánicos en la reducción de microorganismos aeróbicos mesófilos y, coliformes totales y fecales en canales de bovinos",https://dspace.espol.edu.ec/handle/123456789/31772,Alimentos,Facultad de Ingeniería en Mecánica y Ciencias de la Producción
