NOMBREPROYEC,FECHA,URL,CARRERA,FACULTAD
Clasificación de Productos Académicos de la ESPOL según su ODS mediante técnicas de Inteligencia Artificial,2024,http://www.dspace.espol.edu.ec/handle/123456789/62329,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Conservación de Iguanas Marinas en las islas Galápagos mediante un Sistema de Información Geográfica para el Parque Nacional Galápagos,2024,http://www.dspace.espol.edu.ec/handle/123456789/62328,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de Plataforma para Manejo de Juegos Masivos de Corta Duración,2024,http://www.dspace.espol.edu.ec/handle/123456789/62324,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de un modelo de Aprendizaje Profundo para la detección de movimientos y ademanes en presentaciones del sistema RAP de ESPOL,2024,http://www.dspace.espol.edu.ec/handle/123456789/62323,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de una aplicación de tour Virtual para capacitación inmersiva de personal en la prevención de riesgos laborales,2024,http://www.dspace.espol.edu.ec/handle/123456789/62322,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de una aplicación web para la gestión de información del proyecto ESPOL Keepers,2024,http://www.dspace.espol.edu.ec/handle/123456789/62319,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de una plataforma web de apoyo académico para la generación de respuesta aumentadas por recuperación utilizando inteligencia artificial,2024,http://www.dspace.espol.edu.ec/handle/123456789/62318,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de una plataforma web para la gestión de actividades de una asociación de profesores de tenis,2024,http://www.dspace.espol.edu.ec/handle/123456789/62315,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de una solución tecnológica para la detección y notificación de caídas utilizando TinyML,2024,http://www.dspace.espol.edu.ec/handle/123456789/62314,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Herramienta para analizar movimiento en deportistas de alto rendimiento utilizando arreglos de cámaras infrarrojas,2024,http://www.dspace.espol.edu.ec/handle/123456789/62312,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Identificación de patrones de infecciones respiratorias mediante técnicas de Inteligencia Artificial,2024,http://www.dspace.espol.edu.ec/handle/123456789/62311,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de un sistema predictivo de ventas para la industria farmacéutica,2024,http://www.dspace.espol.edu.ec/handle/123456789/62308,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Generación de nubes de puntos a través de un sistema de estereovisión para aplicaciones industriales y de investigación,2024,http://www.dspace.espol.edu.ec/handle/123456789/62307,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de una librería para la explicación de resultados de SVM en contexto,2024,http://www.dspace.espol.edu.ec/handle/123456789/62306,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Sistematización del proceso de gestión de solicitudes del Comité de Ética en Investigación de la ESPOL Fase 3,2024,http://www.dspace.espol.edu.ec/handle/123456789/62299,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Administración de recursos humanos en el desarrollo de un sistema de información,2013,http://www.dspace.espol.edu.ec/handle/123456789/61425,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Diseño e implementación de un software de gestión y planificación de rutas de un robot de servicio,2024,http://www.dspace.espol.edu.ec/handle/123456789/60860,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Desarrollo de un asistente virtual para mejorar el acceso a la información académica y administrativa de la FIEC - ESPOL,2023,http://www.dspace.espol.edu.ec/handle/123456789/60609,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
Visualización de parámetros de movimiento en deportistas de halterofilia utilizando arreglos de cámaras infrarrojas.,2023,http://www.dspace.espol.edu.ec/handle/123456789/60608,Ingeniería en Ciencias Computacionales,Facultad de Ingeniería en Electricidad y Computación
